,GP,GS,MIN,FGM,FGA,FG%,3PTM,3PTA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,BLK,STL,PF,TO,PTS
Brad Wanamaker,99.0,1.0,15.7,1.9,4.3,44.0,0.5,1.3,38.0,1.3,1.5,91.7,0.2,1.4,1.7,2.2,0.1,0.6,1.6,0.9,5.6
Carsen Edwards,35.0,0.0,9.0,1.1,3.2,32.7,0.6,1.9,30.9,0.3,0.4,84.6,0.2,1.1,1.2,0.6,0.1,0.3,0.9,0.4,3.0
Daniel Theis,187.0,62.0,17.2,2.6,4.7,55.4,0.4,1.1,34.0,1.1,1.4,75.3,1.6,3.1,4.7,1.2,0.9,0.5,2.8,0.7,6.7
Enes Kanter,634.0,222.0,21.8,4.8,8.8,54.2,0.1,0.2,28.7,2.0,2.6,77.6,2.9,4.7,7.6,0.9,0.5,0.4,2.2,1.5,11.6
Gordon Hayward,634.0,472.0,30.8,5.2,11.6,45.1,1.3,3.6,36.6,3.5,4.2,82.2,0.7,3.6,4.4,3.5,0.4,1.0,1.7,2.0,15.3
Grant Williams,62.0,5.0,15.6,1.3,3.1,41.7,0.3,1.4,24.7,0.6,0.8,72.5,0.9,1.7,2.7,1.0,0.5,0.5,2.4,0.7,3.5
Javonte Green,44.0,1.0,9.4,1.1,2.2,50.0,0.1,0.5,26.1,0.5,0.8,63.9,0.4,1.4,1.8,0.5,0.2,0.5,0.8,0.4,2.9
Jaylen Brown,272.0,165.0,26.1,4.8,10.3,47.0,1.4,3.7,37.0,1.9,2.8,68.0,0.8,3.6,4.4,1.4,0.3,0.8,2.4,1.5,12.9
Jayson Tatum,218.0,218.0,31.8,6.2,13.7,45.6,1.8,4.5,39.9,2.9,3.5,82.7,0.8,5.1,5.9,2.2,0.8,1.1,2.1,1.7,17.2
Kemba Walker,655.0,610.0,33.9,6.9,16.5,41.8,2.2,6.1,36.0,4.0,4.7,83.8,0.6,3.3,3.8,5.4,0.4,1.3,1.5,2.2,20.0
Marcus Smart,394.0,182.0,29.0,3.3,8.8,37.4,1.5,4.6,31.8,1.8,2.4,77.4,0.9,2.7,3.6,4.0,0.4,1.6,2.6,1.7,9.9
Romeo Langford,27.0,1.0,11.0,0.9,2.4,37.5,0.2,0.9,21.7,0.6,0.9,69.6,0.5,0.7,1.2,0.2,0.2,0.3,1.1,0.3,2.6
Semi Ojeleye,190.0,8.0,13.9,1.0,2.7,39.0,0.5,1.6,33.3,0.4,0.6,68.5,0.4,1.5,2.0,0.4,0.1,0.3,1.0,0.3,3.0
Tacko Fall,6.0,0.0,4.0,1.5,2.0,75.0,0.0,0.0,0.0,0.2,0.5,33.3,0.0,1.8,1.8,0.0,0.3,0.0,0.8,0.5,3.2
Tremont Waters,10.0,0.0,8.9,1.2,3.5,34.3,0.3,1.7,17.6,0.6,0.6,100.0,0.0,0.9,0.9,1.2,0.2,0.5,1.1,1.0,3.3
Vincent Poirier,21.0,0.0,5.4,0.8,1.6,48.5,0.0,0.1,50.0,0.3,0.3,85.7,0.5,1.1,1.6,0.3,0.3,0.1,1.1,0.3,1.9
Caris LeVert,207.0,86.0,25.6,4.6,10.7,43.0,1.3,3.7,34.2,1.9,2.7,71.1,0.7,2.9,3.7,3.5,0.2,1.0,1.9,1.8,12.4
Chris Chiozza,28.0,0.0,10.1,1.2,3.1,39.1,0.7,1.6,43.5,0.1,0.1,100.0,0.3,1.1,1.4,1.9,0.1,0.6,0.9,0.6,3.2
DeAndre Jordan,875.0,713.0,27.8,3.8,5.7,66.9,0.0,0.0,9.1,1.9,3.9,47.4,3.2,7.6,10.8,0.9,1.6,0.6,2.6,1.4,9.5
Dzanan Musa,44.0,0.0,10.1,1.3,3.7,36.6,0.4,1.7,21.3,0.8,1.0,71.7,0.5,1.3,1.7,0.8,0.0,0.3,0.6,0.8,3.8
Garrett Temple,569.0,242.0,21.0,2.2,5.6,40.3,1.0,2.8,34.7,0.8,1.1,73.3,0.4,1.9,2.3,1.7,0.3,0.8,1.9,0.9,6.3
Jarrett Allen,216.0,169.0,24.0,3.9,6.4,60.7,0.1,0.3,16.9,2.1,3.1,69.2,2.5,5.3,7.7,1.1,1.4,0.5,2.2,1.2,9.9
Jeremiah Martin,3.0,0.0,5.3,0.3,1.7,20.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.7,0.3,0.3,0.0,0.0,0.7
Joe Harris,325.0,165.0,24.2,3.7,7.9,47.4,1.9,4.4,42.3,0.9,1.2,78.6,0.6,2.5,3.1,1.6,0.2,0.5,2.0,1.2,10.3
Justin Anderson,219.0,23.0,13.1,1.9,4.5,41.8,0.6,2.1,30.0,0.9,1.2,77.6,0.6,1.9,2.5,0.7,0.3,0.4,1.2,0.6,5.3
Kevin Durant,849.0,849.0,36.9,9.2,18.7,49.3,1.8,4.9,38.1,6.8,7.7,88.3,0.7,6.3,7.1,4.1,1.1,1.1,1.9,3.1,27.0
Kyrie Irving,528.0,528.0,33.8,8.2,17.7,46.6,2.1,5.4,39.0,3.8,4.4,87.7,0.8,2.9,3.7,5.7,0.4,1.3,2.2,2.6,22.4
Nicolas Claxton,15.0,0.0,12.5,1.8,3.2,56.3,0.1,0.5,14.3,0.7,1.4,52.4,1.3,1.7,2.9,1.1,0.5,0.1,0.9,0.6,4.4
Rodions Kurucs,102.0,50.0,17.6,2.6,5.7,44.9,0.8,2.4,33.3,0.9,1.2,74.2,0.7,2.6,3.4,0.8,0.3,0.6,2.1,1.1,6.8
Spencer Dinwiddie,317.0,130.0,25.7,4.2,10.1,41.0,1.4,4.4,31.8,3.2,4.1,79.3,0.4,2.3,2.8,5.0,0.3,0.7,2.4,1.8,12.9
Taurean Prince,260.0,200.0,26.4,4.1,10.0,41.2,1.8,5.0,36.6,1.5,1.8,81.8,0.6,3.8,4.3,1.9,0.4,0.9,2.2,1.8,11.6
Theo Pinson,51.0,0.0,11.3,1.4,4.5,30.7,0.5,2.5,21.4,0.7,0.7,89.5,0.3,1.5,1.8,1.5,0.1,0.5,1.0,1.0,3.9
Wilson Chandler,676.0,483.0,30.0,4.8,10.9,44.3,1.3,3.8,34.1,1.6,2.0,77.0,1.1,4.2,5.3,1.8,0.6,0.7,2.7,1.4,12.5
Allonzo Trier,88.0,4.0,19.9,3.2,7.1,45.4,0.8,2.1,38.4,2.4,3.0,80.1,0.4,2.1,2.6,1.7,0.2,0.4,1.7,1.6,9.7
Bobby Portis,315.0,54.0,20.4,4.1,9.0,45.6,0.9,2.4,36.0,1.1,1.5,75.4,1.7,4.2,5.9,1.2,0.3,0.5,1.8,1.1,10.2
Damyean Dotson,165.0,42.0,20.1,2.9,7.0,42.0,1.3,3.5,36.1,0.7,0.9,72.1,0.3,2.3,2.6,1.4,0.1,0.6,1.3,0.7,7.8
Elfrid Payton,387.0,331.0,29.3,4.5,10.0,45.2,0.4,1.4,28.9,1.5,2.4,62.5,1.1,3.3,4.4,6.6,0.4,1.3,2.2,2.4,11.0
Frank Ntilikina,178.0,51.0,21.3,2.3,6.3,36.6,0.7,2.3,31.1,0.7,0.9,78.3,0.4,1.8,2.2,3.1,0.3,0.8,2.4,1.4,6.0
Ignas Brazdeikis,9.0,0.0,5.9,0.7,2.4,27.3,0.1,1.0,11.1,0.4,0.6,80.0,0.2,0.3,0.6,0.4,0.1,0.0,0.3,0.2,1.9
Julius Randle,375.0,295.0,29.2,6.1,12.3,49.3,0.4,1.5,29.5,3.5,4.8,72.4,2.2,6.8,9.0,2.8,0.5,0.7,3.2,2.5,16.1
Kadeem Allen,47.0,2.0,13.6,1.9,4.4,43.5,0.5,1.3,34.9,1.2,1.6,75.7,0.3,1.2,1.5,2.3,0.2,0.5,1.4,0.9,5.5
Maurice Harkless,537.0,325.0,23.1,2.9,6.0,47.8,0.6,1.9,32.5,0.8,1.4,61.2,1.2,2.5,3.7,0.9,0.7,1.0,2.1,0.9,7.2
Mitchell Robinson,127.0,26.0,21.8,3.6,5.0,72.0,0.0,0.0,0.0,1.3,2.2,58.3,2.9,3.8,6.7,0.6,2.2,0.8,3.2,0.6,8.5
RJ Barrett,56.0,55.0,30.4,5.2,13.0,40.2,1.1,3.5,32.0,2.8,4.5,61.4,0.9,4.1,5.0,2.6,0.3,1.0,2.2,2.2,14.3
Reggie Bullock,301.0,138.0,19.7,2.5,5.9,43.0,1.3,3.4,38.5,0.5,0.6,82.6,0.3,1.8,2.1,1.1,0.1,0.5,1.1,0.6,6.9
Taj Gibson,799.0,440.0,25.2,4.0,7.7,51.5,0.0,0.1,22.0,1.6,2.2,70.9,2.3,3.9,6.3,1.0,1.0,0.6,2.5,1.2,9.5
Wayne Ellington,681.0,166.0,21.0,2.9,7.1,40.8,1.5,3.9,37.8,0.7,0.8,84.6,0.3,1.9,2.2,1.1,0.1,0.5,1.1,0.7,8.0
Al Horford,846.0,839.0,32.7,5.9,11.3,52.0,0.5,1.5,36.1,1.7,2.2,75.4,2.1,6.2,8.3,3.3,1.2,0.8,2.3,1.6,14.0
Alec Burks,488.0,85.0,21.9,3.5,8.3,42.0,0.8,2.2,35.8,2.4,3.1,79.2,0.6,2.6,3.2,1.8,0.2,0.7,1.8,1.3,10.2
Ben Simmons,214.0,214.0,34.4,6.8,12.0,56.1,0.0,0.1,8.7,2.9,4.9,59.4,2.0,6.3,8.3,8.0,0.8,1.7,2.8,3.5,16.4
Furkan Korkmaz,126.0,19.0,17.1,2.6,6.2,41.7,1.4,3.8,37.2,0.7,1.0,75.8,0.3,1.8,2.1,1.0,0.1,0.5,1.3,0.6,7.3
Joel Embiid,202.0,202.0,30.6,8.0,16.8,47.9,1.2,3.6,32.2,6.8,8.6,79.4,2.4,9.1,11.5,3.1,1.8,0.7,3.4,3.5,24.1
Josh Richardson,307.0,236.0,30.7,4.5,10.7,42.6,1.6,4.4,36.2,1.7,2.1,81.4,0.7,2.5,3.2,2.9,0.7,1.1,2.5,1.4,12.4
Marial Shayok,2.0,0.0,5.0,0.5,2.5,20.0,0.5,1.5,33.3,0.0,0.0,0.0,0.0,1.5,1.5,0.5,0.0,0.0,0.0,0.5,1.5
Matisse Thybulle,57.0,13.0,19.5,1.7,4.1,41.0,0.9,2.5,35.2,0.4,0.7,61.0,0.6,0.9,1.5,1.2,0.7,1.4,2.1,0.8,4.7
Mike Scott,499.0,21.0,16.5,2.7,5.9,45.8,0.9,2.4,36.3,0.7,1.0,76.0,0.7,2.5,3.2,0.9,0.1,0.3,1.5,0.7,7.0
Norvel Pelle,20.0,0.0,8.9,0.9,1.8,51.4,0.0,0.0,0.0,0.3,0.6,50.0,0.8,2.2,3.0,0.4,1.3,0.1,2.0,0.7,2.1
Raul Neto,248.0,57.0,13.6,1.8,4.0,44.5,0.6,1.5,38.0,0.6,0.7,78.7,0.2,1.1,1.3,1.8,0.1,0.5,1.2,1.0,4.7
Shake Milton,52.0,16.0,16.9,2.7,5.8,46.7,1.2,2.9,41.3,0.8,1.1,75.9,0.4,1.6,2.0,1.7,0.3,0.5,1.9,0.8,7.5
Tobias Harris,611.0,491.0,30.8,6.0,12.8,47.1,1.3,3.6,36.4,2.5,3.0,82.0,1.0,5.1,6.0,2.0,0.5,0.7,2.0,1.4,15.9
Zhaire Smith,13.0,2.0,11.0,1.3,3.5,37.8,0.5,1.5,31.6,0.6,0.9,66.7,0.2,0.9,1.2,0.9,0.2,0.4,0.9,0.6,3.7
Chris Boucher,84.0,0.0,10.6,1.8,4.0,45.4,0.5,1.6,29.2,1.1,1.4,80.5,1.3,2.3,3.6,0.3,0.9,0.3,1.6,0.4,5.3
Dewan Hernandez,4.0,0.0,2.8,0.3,1.3,20.0,0.0,0.3,0.0,0.5,0.5,100.0,0.5,1.3,1.8,0.0,0.0,0.3,1.5,0.3,1.0
Fred VanVleet,225.0,76.0,23.5,3.6,8.7,41.1,1.6,4.1,39.2,1.5,1.8,83.9,0.3,2.2,2.5,4.0,0.2,1.0,1.8,1.2,10.3
Kyle Lowry,908.0,672.0,31.6,4.7,11.2,42.3,1.9,5.1,36.6,3.4,4.2,80.9,0.8,3.5,4.3,6.2,0.3,1.4,2.7,2.3,14.7
Malcolm Miller,50.0,5.0,6.4,0.6,1.6,41.0,0.5,1.2,39.3,0.2,0.3,57.1,0.1,0.6,0.7,0.2,0.1,0.1,0.5,0.2,1.9
Marc Gasol,831.0,815.0,33.2,5.4,11.3,48.2,0.5,1.3,35.6,3.3,4.3,77.7,1.6,6.0,7.6,3.4,1.4,0.9,2.9,2.0,14.7
Matt Thomas,33.0,0.0,9.7,1.6,3.4,48.6,1.1,2.3,46.7,0.2,0.3,70.0,0.2,1.2,1.5,0.5,0.0,0.2,0.9,0.4,4.5
Norman Powell,299.0,86.0,18.6,3.1,6.8,45.7,1.0,2.9,35.9,1.2,1.5,81.6,0.3,2.0,2.3,1.3,0.2,0.7,1.6,1.0,8.5
OG Anunoby,204.0,130.0,23.2,3.0,6.3,48.0,1.1,3.0,36.2,0.7,1.0,63.8,0.9,2.7,3.5,1.0,0.4,0.9,2.1,0.9,7.8
Oshae Brissett,19.0,0.0,7.1,0.7,1.9,36.1,0.2,0.8,20.0,0.4,0.5,80.0,0.5,0.9,1.4,0.4,0.1,0.2,0.9,0.4,1.9
Pascal Siakam,269.0,175.0,25.9,5.0,9.8,50.4,0.8,2.5,33.3,2.0,2.6,76.6,1.2,4.4,5.6,2.3,0.7,0.8,2.5,1.4,12.7
Patrick McCaw,194.0,43.0,17.2,1.5,3.6,41.9,0.5,1.6,30.5,0.4,0.5,77.9,0.3,1.3,1.6,1.4,0.2,0.7,1.2,0.6,3.9
Paul Watson,5.0,0.0,5.0,0.0,1.6,0.0,0.0,0.8,0.0,0.2,0.4,50.0,0.0,0.8,0.8,1.0,0.2,0.2,0.2,0.0,0.2
Serge Ibaka,803.0,646.0,28.6,5.2,10.2,51.4,0.7,1.8,36.1,1.5,1.9,76.0,2.2,5.2,7.4,0.8,2.1,0.4,2.8,1.3,12.6
Stanley Johnson,305.0,64.0,20.5,2.4,6.5,37.2,0.8,2.7,29.1,0.9,1.2,76.5,0.5,2.7,3.2,1.4,0.2,0.9,1.9,1.2,6.6
Terence Davis,64.0,2.0,17.0,2.8,6.1,46.3,1.4,3.5,39.6,0.7,0.8,86.5,0.7,2.7,3.4,1.7,0.2,0.5,1.6,1.0,7.7
Adam Mokoka,11.0,0.0,10.2,1.1,2.5,42.9,0.5,1.4,40.0,0.2,0.4,50.0,0.6,0.3,0.9,0.4,0.0,0.4,1.5,0.2,2.9
Chandler Hutchison,72.0,24.0,19.8,2.4,5.3,45.8,0.4,1.2,29.5,1.0,1.6,59.5,0.7,3.4,4.1,0.8,0.2,0.7,1.5,0.7,6.2
Coby White,65.0,1.0,25.8,4.8,12.2,39.4,2.0,5.8,35.4,1.6,2.0,79.1,0.4,3.1,3.5,2.7,0.1,0.8,1.8,1.7,13.2
Cristiano Felicio,234.0,20.0,14.8,1.8,3.2,57.2,0.0,0.1,0.0,0.9,1.3,67.9,1.6,2.5,4.1,0.7,0.2,0.3,1.5,0.6,4.5
Daniel Gafford,43.0,7.0,14.2,2.2,3.1,70.1,0.0,0.0,0.0,0.7,1.4,53.3,1.2,1.3,2.5,0.5,1.3,0.3,2.3,0.7,5.1
Denzel Valentine,170.0,42.0,20.9,2.9,7.3,40.1,1.5,4.2,36.6,0.3,0.5,75.3,0.4,3.2,3.6,2.1,0.1,0.7,1.9,1.0,7.8
Kris Dunn,227.0,126.0,24.3,3.4,8.0,42.2,0.6,1.8,30.6,0.9,1.3,72.6,0.4,3.0,3.3,4.2,0.4,1.5,3.0,1.8,8.3
Lauri Markkanen,170.0,169.0,30.6,5.7,13.2,43.0,2.2,6.2,35.6,2.6,3.0,84.8,1.3,6.3,7.6,1.3,0.6,0.7,1.9,1.5,16.1
Luke Kornet,102.0,33.0,16.4,2.3,5.8,40.0,1.3,3.7,33.9,0.6,0.8,77.6,0.6,2.2,2.8,1.1,0.8,0.4,1.2,0.5,6.6
Max Strus,2.0,0.0,3.0,1.0,1.5,66.7,0.0,0.5,0.0,0.5,0.5,100.0,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.0,2.5
Ryan Arcidiacono,163.0,36.0,19.6,1.8,4.2,43.3,0.9,2.4,37.3,0.7,0.9,82.9,0.3,1.9,2.2,2.5,0.0,0.6,1.7,0.7,5.2
Shaquille Harrison,139.0,23.0,16.5,2.3,5.1,44.8,0.3,1.1,29.3,1.1,1.5,70.6,0.5,2.2,2.7,1.7,0.4,1.1,1.6,0.7,6.0
Thaddeus Young,965.0,687.0,30.3,5.7,11.4,49.8,0.5,1.5,33.3,1.3,2.0,67.0,2.0,3.9,5.9,1.7,0.4,1.5,2.2,1.4,13.2
Tomas Satoransky,275.0,151.0,23.3,2.7,5.9,46.9,0.7,1.8,36.9,1.2,1.5,81.7,0.9,2.2,3.1,4.1,0.1,0.9,1.8,1.3,7.4
Zach LaVine,353.0,266.0,30.8,6.4,14.3,44.7,1.8,4.9,37.5,3.1,3.8,81.9,0.5,3.2,3.6,3.6,0.3,1.0,2.2,2.5,17.7
Alfonzo McKinnie,126.0,6.0,13.1,1.7,3.7,46.6,0.5,1.5,30.7,0.4,0.7,62.2,0.9,2.0,2.9,0.4,0.2,0.3,1.7,0.5,4.3
Andre Drummond,599.0,548.0,31.0,6.1,11.3,54.2,0.0,0.2,14.6,2.2,4.8,46.1,4.8,9.1,13.8,1.3,1.6,1.4,3.2,2.0,14.5
Ante Zizic,113.0,27.0,13.4,2.4,4.2,58.1,0.0,0.0,0.0,1.1,1.6,71.1,1.3,2.6,3.9,0.6,0.4,0.2,1.5,0.7,6.0
Cedi Osman,202.0,152.0,24.9,3.5,8.1,43.7,1.4,3.9,36.4,1.1,1.6,71.7,0.5,3.0,3.5,1.9,0.1,0.7,2.1,1.2,9.6
Collin Sexton,147.0,137.0,32.3,7.0,15.6,45.0,1.5,3.7,39.2,3.0,3.6,84.3,0.8,2.2,3.0,3.0,0.1,0.7,2.2,2.3,18.5
Dante Exum,239.0,69.0,18.5,2.1,5.1,40.7,0.7,2.2,30.8,0.8,1.1,76.6,0.4,1.4,1.8,2.1,0.2,0.4,1.8,1.3,5.7
Darius Garland,59.0,59.0,30.9,4.7,11.8,40.1,1.8,5.0,35.5,1.1,1.2,87.5,0.5,1.4,1.9,3.9,0.1,0.7,1.6,2.6,12.3
Dean Wade,12.0,0.0,5.9,0.8,1.1,69.2,0.2,0.3,50.0,0.0,0.1,0.0,0.3,1.3,1.6,0.2,0.3,0.2,0.7,0.3,1.7
Kevin Love,713.0,630.0,32.0,6.0,13.6,44.2,1.7,4.6,37.0,4.5,5.4,82.8,2.8,8.4,11.1,2.4,0.5,0.7,2.1,2.0,18.2
Matt Mooney,4.0,0.0,4.8,0.3,1.0,25.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.3,0.3,0.5,0.3,0.0,0.5
Matthew Dellavedova,434.0,92.0,20.4,2.0,5.1,38.9,0.9,2.5,36.8,0.7,0.8,83.8,0.4,1.4,1.8,3.7,0.0,0.5,1.9,1.3,5.6
Sheldon Mac,30.0,3.0,9.6,1.0,2.5,40.0,0.2,1.0,23.3,0.8,0.9,85.2,0.1,1.0,1.1,0.5,0.1,0.3,0.6,0.2,3.0
Tristan Thompson,619.0,429.0,28.1,3.8,7.3,51.8,0.0,0.1,28.1,1.8,3.0,61.0,3.4,5.3,8.7,1.0,0.7,0.5,2.3,1.2,9.4
Blake Griffin,622.0,622.0,34.8,8.1,16.3,49.8,0.7,2.0,33.3,4.8,6.9,69.4,2.2,6.7,8.8,4.4,0.5,0.9,2.9,2.6,21.7
Brandon Knight,446.0,349.0,29.5,5.0,12.3,41.1,1.6,4.5,35.3,2.4,2.9,80.6,0.5,2.6,3.1,4.0,0.2,0.9,2.0,2.4,14.1
