,GP,GS,MIN,FGM,FGA,FG%,3PTM,3PTA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,BLK,STL,PF,TO,PTS
Bruce Brown,132.0,99.0,23.4,2.4,5.8,42.4,0.4,1.4,30.2,1.0,1.4,74.3,0.8,2.7,3.5,2.4,0.5,0.8,2.6,1.1,6.3
Christian Wood,113.0,14.0,16.2,3.4,6.2,54.6,0.6,1.6,36.8,2.2,3.0,73.4,1.3,3.5,4.8,0.6,0.7,0.4,1.2,1.0,9.5
Derrick Rose,596.0,504.0,32.6,7.3,16.1,45.6,0.8,2.6,30.4,3.3,4.0,82.7,0.8,2.6,3.4,5.6,0.3,0.8,1.3,2.6,18.8
Donta Hall,4.0,0.0,12.0,0.3,1.0,25.0,0.0,0.0,0.0,1.0,1.5,66.7,1.5,2.3,3.8,0.5,0.3,0.3,2.3,0.5,1.5
John Henson,445.0,160.0,19.7,3.2,6.0,54.0,0.0,0.2,25.0,1.1,1.9,56.8,1.8,3.5,5.3,1.1,1.4,0.5,2.2,1.1,7.6
Jordan Bone,10.0,0.0,5.3,0.5,2.0,25.0,0.2,1.0,20.0,0.0,0.0,0.0,0.0,0.4,0.4,0.8,0.0,0.1,0.6,0.2,1.2
Jordan McRae,123.0,9.0,13.8,2.5,5.9,41.7,0.7,1.9,35.5,1.3,1.7,77.2,0.3,1.6,1.8,1.4,0.2,0.4,1.2,0.7,6.9
Khyri Thomas,34.0,0.0,7.5,0.8,2.5,31.4,0.4,1.4,30.6,0.3,0.4,60.0,0.1,0.5,0.6,0.3,0.1,0.3,0.9,0.2,2.3
Langston Galloway,405.0,62.0,23.0,3.0,7.7,39.6,1.5,4.0,36.7,1.0,1.2,81.0,0.5,2.1,2.6,1.7,0.2,0.7,1.7,0.6,8.5
Louis King,10.0,0.0,6.2,0.8,2.1,38.1,0.4,1.1,36.4,0.0,0.3,0.0,0.1,0.9,1.0,0.5,0.0,0.2,1.0,0.2,2.0
Luke Kennard,164.0,44.0,23.3,3.6,8.1,44.1,1.6,3.9,40.2,1.1,1.3,86.3,0.3,2.5,2.8,2.2,0.2,0.5,1.5,1.0,9.8
Sekou Doumbouya,38.0,19.0,19.8,2.4,6.2,39.0,0.7,2.6,28.6,0.8,1.2,67.4,0.5,2.6,3.1,0.5,0.2,0.5,2.1,0.9,6.4
Sviatoslav Mykhailiuk,98.0,27.0,17.4,2.2,5.6,38.9,1.5,3.8,38.5,0.7,0.9,76.7,0.3,1.2,1.4,1.5,0.1,0.6,1.1,0.8,6.5
Thon Maker,255.0,65.0,13.9,1.6,3.8,43.3,0.5,1.5,32.9,0.9,1.3,67.3,0.8,2.0,2.8,0.6,0.7,0.4,1.8,0.5,4.7
Tony Snell,501.0,275.0,22.5,2.4,5.5,42.8,1.2,3.2,38.5,0.5,0.6,83.8,0.3,2.0,2.3,1.2,0.2,0.5,1.4,0.6,6.5
Aaron Holiday,108.0,26.0,18.6,2.8,7.0,40.5,1.1,3.1,37.3,1.0,1.1,84.4,0.2,1.6,1.8,2.6,0.2,0.6,1.6,1.1,7.8
Alize Johnson,27.0,0.0,4.4,0.4,1.1,35.5,0.0,0.1,50.0,0.3,0.5,57.1,0.4,1.0,1.4,0.1,0.1,0.0,0.5,0.1,1.1
Domantas Sabonis,291.0,152.0,25.6,4.8,9.2,52.2,0.3,1.0,32.1,2.2,3.0,72.2,2.0,6.0,8.0,2.6,0.4,0.6,2.9,1.9,12.1
Doug McDermott,403.0,14.0,20.0,3.1,6.6,46.5,1.2,3.0,41.3,0.8,1.0,82.5,0.4,1.8,2.2,0.8,0.1,0.2,1.4,0.6,8.2
Edmond Sumner,49.0,4.0,11.4,1.4,3.6,39.8,0.3,1.3,26.2,0.5,0.8,64.1,0.4,0.9,1.3,1.0,0.3,0.6,1.3,0.6,3.7
Goga Bitadze,49.0,2.0,8.4,1.2,2.6,47.3,0.1,0.7,16.7,0.5,0.7,72.7,0.4,1.5,2.0,0.4,0.7,0.1,1.2,0.5,3.1
JaKarr Sampson,199.0,88.0,15.6,2.0,4.4,46.3,0.3,1.1,25.1,0.9,1.4,66.3,0.6,2.0,2.6,0.7,0.5,0.4,1.9,0.8,5.3
Jeremy Lamb,481.0,128.0,21.2,3.9,8.8,44.4,1.0,3.0,33.9,1.6,1.9,85.1,0.5,3.2,3.7,1.6,0.4,0.7,1.6,0.8,10.5
Justin Holiday,422.0,164.0,23.0,2.9,7.2,39.7,1.5,4.0,36.2,1.0,1.2,82.6,0.4,2.5,2.9,1.4,0.4,1.0,1.5,0.9,8.2
Malcolm Brogdon,235.0,160.0,28.6,5.1,10.8,47.2,1.3,3.4,38.5,2.0,2.2,89.5,0.7,3.0,3.8,4.3,0.2,0.9,1.9,1.6,13.5
Myles Turner,335.0,302.0,28.3,4.9,10.0,48.8,0.8,2.1,35.4,2.2,2.9,76.8,1.4,5.2,6.7,1.2,2.1,0.7,2.8,1.3,12.7
Victor Oladipo,415.0,355.0,33.0,6.4,14.5,44.1,1.5,4.4,35.0,3.0,3.8,79.3,0.6,4.0,4.6,3.9,0.5,1.7,2.4,2.6,17.4
Brook Lopez,778.0,739.0,30.6,6.4,13.0,49.4,0.7,2.0,33.8,3.3,4.1,79.2,2.1,4.3,6.4,1.5,1.8,0.6,2.7,1.8,16.8
Cameron Reynolds,19.0,0.0,13.6,1.7,4.1,42.3,1.1,2.7,41.2,0.4,0.5,88.9,0.2,1.4,1.6,0.7,0.1,0.3,1.4,0.3,5.0
Donte DiVincenzo,86.0,22.0,20.6,3.0,6.7,45.0,1.1,3.5,32.2,0.8,1.0,76.7,0.9,3.2,4.1,1.9,0.3,1.1,1.6,1.1,8.0
Eric Bledsoe,626.0,464.0,27.8,5.1,11.1,45.7,1.1,3.2,33.7,3.0,3.8,79.5,0.8,3.2,4.0,4.8,0.5,1.4,2.1,2.6,14.2
Ersan Ilyasova,801.0,423.0,23.4,3.9,8.7,44.4,1.1,2.9,36.6,1.5,2.0,77.6,1.7,4.0,5.8,1.1,0.4,0.7,2.4,1.0,10.3
George Hill,778.0,447.0,27.7,3.9,8.6,45.7,1.2,3.2,38.5,2.0,2.5,80.3,0.6,2.5,3.1,3.2,0.3,0.9,2.0,1.3,11.1
Giannis Antetokounmpo,522.0,457.0,32.5,7.3,13.9,52.5,0.6,2.0,28.5,4.8,6.6,72.4,1.7,7.2,8.9,4.3,1.3,1.2,3.0,2.8,20.0
Khris Middleton,510.0,435.0,31.5,5.9,13.0,45.8,1.7,4.4,39.2,2.6,3.0,87.4,0.6,4.0,4.6,3.3,0.2,1.3,2.6,1.9,16.3
Kyle Korver,1224.0,422.0,25.4,3.3,7.6,44.2,2.0,4.6,42.9,1.1,1.2,87.6,0.3,2.7,3.0,1.7,0.3,0.7,2.1,1.0,9.7
Marvin Williams,1066.0,828.0,28.2,3.7,8.3,44.3,1.0,2.7,36.2,1.9,2.4,80.8,1.2,4.0,5.2,1.3,0.5,0.8,2.0,1.0,10.3
Pat Connaughton,277.0,9.0,15.6,1.8,4.1,44.3,0.7,2.2,34.3,0.4,0.5,78.4,0.6,2.1,2.8,1.2,0.3,0.3,1.0,0.5,4.7
Robin Lopez,826.0,584.0,22.4,3.7,7.0,52.9,0.1,0.2,29.9,1.4,1.9,75.1,2.3,2.8,5.1,0.8,1.2,0.2,2.0,1.1,8.8
Sterling Brown,157.0,12.0,15.8,2.0,4.7,41.8,0.8,2.2,34.4,0.5,0.6,76.2,0.5,2.6,3.1,1.0,0.2,0.5,1.4,0.7,5.2
Thanasis Antetokounmpo,20.0,2.0,5.0,1.1,2.0,55.0,0.0,0.4,0.0,0.4,0.8,46.7,0.6,0.5,1.0,0.5,0.1,0.3,0.8,0.6,2.6
Wesley Matthews,786.0,725.0,31.9,4.5,10.7,42.3,2.1,5.5,38.1,2.1,2.5,82.4,0.5,2.5,3.1,2.2,0.2,1.1,2.2,1.3,13.2
Brandon Goodwin,50.0,1.0,9.7,1.6,4.3,38.5,0.6,1.9,30.1,0.7,0.8,90.2,0.2,1.3,1.5,1.3,0.1,0.2,1.0,0.6,4.6
Bruno Fernando,56.0,13.0,12.7,1.8,3.6,51.8,0.1,0.7,13.5,0.5,0.9,56.9,1.2,2.3,3.5,0.9,0.3,0.3,1.9,0.8,4.3
Cam Reddish,58.0,34.0,26.7,3.7,9.6,38.4,1.4,4.3,33.2,1.7,2.2,80.2,0.6,3.1,3.7,1.5,0.5,1.1,2.3,1.7,10.5
Clint Capela,334.0,274.0,26.0,5.3,8.3,63.4,0.0,0.0,0.0,1.6,3.1,52.6,3.3,6.4,9.7,1.0,1.5,0.7,2.5,1.2,12.2
Damian Jones,104.0,49.0,14.1,1.9,2.8,66.6,0.0,0.1,22.2,0.9,1.3,67.6,1.1,1.9,3.1,0.6,0.7,0.4,2.3,0.5,4.6
Dewayne Dedmon,394.0,194.0,18.3,2.5,4.9,51.6,0.4,1.2,33.3,0.9,1.3,73.2,1.6,4.4,6.0,0.7,0.9,0.5,2.6,1.0,6.4
Jeff Teague,771.0,593.0,27.5,4.4,10.0,44.5,0.9,2.4,35.6,2.8,3.3,84.4,0.3,2.1,2.5,5.8,0.3,1.2,1.9,2.3,12.6
John Collins,176.0,126.0,28.3,6.4,11.3,57.1,0.7,2.0,36.9,2.6,3.4,75.7,2.9,5.9,8.8,1.6,1.1,0.6,3.1,1.7,16.2
Kevin Huerter,131.0,107.0,29.1,4.0,9.7,41.6,2.0,5.2,38.3,0.7,0.9,78.3,0.7,2.9,3.6,3.3,0.4,0.9,2.2,1.5,10.8
Skal Labissiere,148.0,43.0,17.5,2.9,5.9,49.2,0.2,0.6,35.3,1.2,1.6,74.8,1.5,3.0,4.5,1.0,0.7,0.4,2.1,1.0,7.2
Trae Young,141.0,141.0,32.8,7.6,17.8,42.8,2.6,7.4,34.4,5.8,6.9,84.7,0.7,3.3,3.9,8.6,0.2,1.0,1.7,4.2,23.6
Treveon Graham,180.0,44.0,16.0,1.5,3.9,38.3,0.7,2.0,33.3,0.6,0.8,69.1,0.7,1.6,2.2,0.8,0.1,0.4,1.7,0.4,4.2
Vince Carter,1541.0,982.0,30.1,6.0,13.8,43.5,1.5,4.0,37.1,3.1,3.9,79.8,1.1,3.2,4.3,3.1,0.6,1.0,2.6,1.7,16.7
Bismack Biyombo,636.0,271.0,20.2,1.9,3.7,52.0,0.0,0.0,0.0,1.3,2.2,57.5,2.0,4.3,6.2,0.5,1.3,0.3,2.2,0.9,5.1
Caleb Martin,18.0,1.0,17.6,2.1,4.7,44.0,1.1,2.1,54.1,0.9,1.2,81.0,0.6,1.6,2.1,1.3,0.4,0.7,1.8,0.8,6.2
Cody Martin,48.0,3.0,18.8,1.9,4.3,43.0,0.4,1.6,23.4,0.9,1.4,64.6,0.8,2.5,3.3,2.0,0.2,0.8,1.6,0.9,5.0
Cody Zeller,419.0,252.0,22.9,3.2,6.3,51.3,0.1,0.3,24.8,2.1,2.9,73.1,2.0,4.0,6.0,1.4,0.7,0.7,2.6,1.1,8.6
Dwayne Bacon,135.0,30.0,16.0,2.1,5.1,40.3,0.5,1.5,34.5,0.7,0.9,71.8,0.2,2.1,2.3,1.0,0.1,0.4,1.3,0.6,5.3
Jalen McDaniels,16.0,0.0,18.3,2.1,4.4,47.1,0.6,1.5,37.5,0.9,1.1,82.4,0.9,3.1,4.1,0.8,0.2,0.5,2.3,0.7,5.6
Joe Chealey,5.0,0.0,8.2,0.2,2.0,10.0,0.0,0.8,0.0,0.4,0.4,100.0,0.0,0.0,0.0,0.4,0.0,0.8,0.6,0.4,0.8
Kobi Simmons,33.0,12.0,19.5,2.4,5.7,42.3,0.3,1.2,28.2,0.8,0.8,100.0,0.4,1.1,1.5,2.1,0.2,0.5,1.8,1.3,5.9
Malik Monk,191.0,1.0,17.2,3.1,7.8,39.5,1.3,4.1,32.2,1.1,1.3,85.0,0.3,1.6,1.9,1.7,0.2,0.4,1.3,1.1,8.6
Miles Bridges,145.0,89.0,25.5,3.8,8.7,44.0,1.1,3.4,32.8,1.1,1.4,78.8,1.1,3.7,4.7,1.4,0.7,0.7,1.7,1.0,9.9
Nicolas Batum,789.0,714.0,31.3,4.1,9.5,43.4,1.6,4.4,35.7,1.8,2.1,84.1,1.1,4.2,5.2,3.8,0.6,0.9,1.8,1.8,11.6
PJ Washington,58.0,57.0,30.3,4.6,10.2,45.5,1.5,4.0,37.4,1.5,2.3,64.7,1.0,4.4,5.4,2.1,0.8,0.9,2.7,1.6,12.2
Ray Spalding,14.0,3.0,10.6,1.8,3.4,53.2,0.0,0.2,0.0,0.3,0.9,33.3,1.1,2.4,3.4,0.4,0.6,0.6,1.6,0.6,3.9
Terry Rozier,335.0,93.0,22.7,3.4,8.7,39.4,1.5,4.1,37.1,1.2,1.5,81.3,0.6,3.1,3.7,2.7,0.2,0.8,1.3,1.1,9.6
Willy Hernangomez,209.0,26.0,14.4,2.7,5.1,53.1,0.1,0.4,33.0,1.4,2.0,68.7,1.9,3.5,5.4,1.0,0.4,0.4,1.6,1.1,6.9
Andre Iguodala,1122.0,779.0,33.2,4.3,9.3,46.6,0.9,2.7,33.4,2.5,3.5,70.9,0.9,4.1,5.1,4.3,0.5,1.5,1.8,1.9,12.0
Bam Adebayo,216.0,112.0,25.5,4.0,7.2,55.8,0.0,0.2,11.4,2.5,3.5,71.1,2.1,5.6,7.7,2.9,0.9,0.8,2.3,1.7,10.5
Chris Silva,41.0,0.0,7.5,1.0,1.7,62.3,0.0,0.0,0.0,0.8,1.2,69.4,1.3,1.3,2.7,0.5,0.4,0.2,2.0,0.8,2.9
Duncan Robinson,80.0,61.0,26.4,3.8,8.2,46.1,3.2,7.2,43.8,0.7,0.7,88.1,0.1,2.8,2.9,1.2,0.2,0.5,2.4,0.8,11.4
Gabe Vincent,6.0,0.0,7.0,0.7,3.2,21.1,0.7,2.7,25.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.2,0.3,0.0,2.0
Goran Dragic,812.0,509.0,28.0,5.1,11.0,46.4,1.2,3.3,36.4,2.5,3.3,76.3,0.7,2.3,3.1,4.8,0.2,1.0,2.3,2.3,13.9
Jae Crowder,601.0,290.0,24.7,3.3,7.9,41.9,1.4,4.2,33.6,1.6,2.0,77.9,0.7,3.4,4.1,1.5,0.3,1.0,2.0,0.9,9.5
Jimmy Butler,577.0,472.0,33.1,5.5,12.2,45.4,0.9,2.6,33.3,5.1,6.1,83.5,1.5,3.6,5.1,3.7,0.5,1.6,1.4,1.5,17.0
KZ Okpala,5.0,0.0,5.2,0.6,1.0,60.0,0.0,0.2,0.0,0.2,0.4,50.0,0.2,0.8,1.0,0.2,0.2,0.4,0.4,0.2,1.4
Kelly Olynyk,492.0,100.0,21.2,3.5,7.3,47.8,1.1,3.0,37.5,1.5,1.9,77.3,1.2,3.7,4.8,1.9,0.4,0.7,2.8,1.4,9.6
Kendrick Nunn,62.0,62.0,29.8,6.1,13.7,44.8,2.1,5.8,36.2,1.2,1.5,83.7,0.3,2.4,2.7,3.4,0.2,0.8,2.3,1.6,15.6
Meyers Leonard,442.0,91.0,16.0,2.2,4.5,48.3,0.7,1.9,39.2,0.6,0.7,81.3,0.7,3.2,3.9,0.9,0.3,0.2,2.2,0.7,5.6
Solomon Hill,359.0,172.0,22.0,2.0,5.1,39.6,0.8,2.4,33.8,1.0,1.3,80.0,0.7,2.5,3.2,1.6,0.2,0.7,1.7,0.9,5.8
Tyler Herro,47.0,6.0,27.2,4.7,11.3,41.4,2.1,5.4,39.1,1.4,1.7,83.5,0.3,3.7,4.0,1.9,0.1,0.6,1.3,1.5,12.9
Udonis Haslem,857.0,499.0,25.1,3.1,6.3,48.9,0.0,0.1,7.0,1.4,1.9,75.5,1.9,4.8,6.7,0.9,0.3,0.5,2.4,0.9,7.6
Aaron Gordon,399.0,310.0,28.6,4.8,10.7,44.7,1.1,3.4,31.8,2.0,2.9,70.1,1.6,4.8,6.4,2.4,0.6,0.8,2.0,1.4,12.7
BJ Johnson,15.0,0.0,6.3,0.9,2.4,38.9,0.3,0.9,30.8,0.3,0.3,100.0,0.2,0.7,0.9,0.1,0.0,0.3,0.3,0.3,2.4
Evan Fournier,518.0,376.0,28.4,5.1,11.3,44.9,1.8,4.7,37.6,2.1,2.6,80.7,0.4,2.3,2.7,2.6,0.1,0.9,2.4,1.7,14.1
Gary Clark,86.0,3.0,12.4,1.0,2.9,34.9,0.8,2.6,30.8,0.2,0.2,93.8,0.6,1.7,2.3,0.4,0.5,0.3,0.9,0.1,3.0
Jonathan Isaac,134.0,106.0,26.0,3.5,8.0,43.2,1.0,3.0,32.8,1.4,1.7,79.4,1.3,4.2,5.5,1.1,1.5,1.1,2.0,1.1,9.3
Khem Birch,132.0,25.0,15.1,1.6,3.0,54.8,0.0,0.0,0.0,1.1,1.6,66.8,1.7,2.5,4.2,0.8,0.5,0.4,1.5,0.5,4.3
Markelle Fultz,97.0,74.0,25.7,4.4,9.7,45.6,0.4,1.4,25.6,1.4,2.1,66.8,0.7,2.6,3.4,4.6,0.2,1.2,2.1,1.8,10.6
Mo Bamba,107.0,1.0,15.3,2.3,4.9,47.4,0.5,1.6,33.3,0.6,1.0,62.4,1.5,3.5,5.0,0.8,1.4,0.3,2.0,0.8,5.8
Nikola Vucevic,590.0,529.0,30.3,7.0,14.0,49.9,0.4,1.3,33.1,1.6,2.2,74.5,2.7,7.5,10.2,2.6,0.9,0.9,2.5,1.7,16.0
Terrence Ross,555.0,176.0,24.6,4.0,9.6,42.1,1.9,5.1,37.1,1.0,1.2,82.5,0.4,2.5,2.8,1.1,0.3,0.8,1.7,0.9,11.0
Vic Law,5.0,0.0,1.8,0.0,0.6,0.0,0.0,0.2,0.0,0.0,0.4,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0
Wes Iwundu,175.0,43.0,17.5,1.6,3.9,41.3,0.3,1.1,30.7,1.0,1.3,79.6,0.5,1.9,2.5,1.0,0.3,0.5,1.5,0.5,4.6
Admiral Schofield,27.0,2.0,10.9,1.1,2.8,40.0,0.5,1.7,29.8,0.3,0.5,69.2,0.2,1.0,1.3,0.5,0.1,0.3,1.5,0.3,3.1
Anzejs Pasecniks,24.0,0.0,16.9,2.3,4.4,52.8,0.0,0.1,0.0,1.3,2.3,59.3,1.6,2.5,4.1,0.7,0.5,0.3,2.7,0.9,6.0
Bradley Beal,545.0,511.0,34.6,7.6,16.9,45.2,2.3,6.0,38.0,3.4,4.2,80.7,0.8,3.2,4.0,4.0,0.4,1.1,2.2,2.3,21.0
Davis Bertans,274.0,32.0,18.6,2.7,6.1,44.1,1.9,4.5,41.1,0.8,1.0,84.9,0.4,2.4,2.8,1.1,0.4,0.4,1.6,0.6,8.0
Garrison Mathews,18.0,0.0,12.6,1.3,3.1,42.9,1.1,2.6,41.3,1.7,1.9,91.2,0.3,1.0,1.3,0.6,0.1,0.4,1.8,0.4,5.4
Ian Mahinmi,618.0,133.0,16.8,1.9,3.6,53.3,0.0,0.1,16.0,1.3,2.1,61.2,1.5,2.9,4.4,0.6,0.7,0.6,2.6,1.0,5.2
Isaac Bonga,80.0,41.0,14.3,1.3,2.7,46.5,0.3,0.8,34.9,0.8,1.0,77.2,0.9,1.7,2.6,1.0,0.3,0.6,1.8,0.6,3.6
Ish Smith,602.0,161.0,20.1,3.3,7.6,43.0,0.4,1.3,31.8,0.7,1.1,67.9,0.4,2.1,2.4,3.9,0.2,0.7,1.3,1.3,7.7
Jerome Robinson,88.0,4.0,12.1,1.4,3.7,36.5,0.6,1.8,30.4,0.3,0.4,68.4,0.1,1.5,1.7,1.0,0.2,0.4,1.5,0.5,3.6
John Wall,573.0,561.0,35.9,6.9,15.9,43.3,0.9,2.9,32.4,4.3,5.5,78.1,0.6,3.8,4.3,9.2,0.7,1.7,2.2,3.8,19.0
