,GP,GS,MIN,FGM,FGA,FG%,3PTM,3PTA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,BLK,STL,PF,TO,PTS
Danny Green,681.0,605.0,25.4,3.2,7.5,42.4,1.9,4.7,40.2,0.7,0.9,81.0,0.6,2.9,3.5,1.6,0.8,1.0,1.8,1.0,8.9
Dion Waiters,412.0,211.0,28.3,5.0,12.2,41.2,1.4,4.0,34.8,1.7,2.5,69.2,0.4,2.3,2.7,2.8,0.3,0.9,1.9,1.8,13.2
Dwight Howard,1106.0,1045.0,33.6,6.1,10.4,58.6,0.0,0.1,13.2,4.6,8.2,56.5,3.5,8.9,12.3,1.4,1.9,0.9,3.2,2.8,16.8
JaVale McGee,694.0,310.0,17.3,3.4,5.9,57.5,0.0,0.0,15.2,1.1,1.9,59.2,1.9,3.3,5.1,0.4,1.5,0.4,2.2,1.0,7.9
Jared Dudley,887.0,286.0,22.5,2.7,5.8,46.4,1.0,2.5,39.4,1.1,1.4,73.2,0.9,2.3,3.2,1.6,0.2,0.8,1.8,0.9,7.5
Kostas Antetokounmpo,5.0,0.0,3.2,0.0,0.6,0.0,0.0,0.0,0.0,0.4,0.8,50.0,0.0,0.4,0.4,0.2,0.0,0.4,0.0,0.2,0.4
Kyle Kuzma,201.0,112.0,30.1,6.1,13.5,44.9,1.8,5.4,32.7,2.1,2.9,73.3,1.0,4.5,5.5,1.9,0.4,0.6,2.2,1.8,16.0
LeBron James,1258.0,1257.0,38.4,9.9,19.6,50.4,1.5,4.3,34.4,5.9,8.0,73.5,1.2,6.2,7.4,7.4,0.8,1.6,1.8,3.5,27.1
Markieff Morris,631.0,347.0,25.6,4.4,9.9,44.8,0.8,2.4,34.4,1.8,2.3,77.8,1.3,4.1,5.4,1.7,0.6,0.9,2.9,1.6,11.5
Quinn Cook,159.0,28.0,15.1,2.7,5.8,46.8,1.0,2.5,41.2,0.3,0.4,76.9,0.3,1.5,1.8,1.7,0.0,0.3,1.2,0.8,6.8
Rajon Rondo,873.0,729.0,31.0,4.3,9.3,45.8,0.4,1.4,31.6,1.2,2.0,60.6,1.0,3.7,4.7,8.3,0.1,1.7,2.2,2.8,10.2
Aron Baynes,469.0,137.0,15.8,2.4,4.8,49.5,0.2,0.5,32.7,1.0,1.3,80.0,1.5,3.0,4.5,0.8,0.5,0.2,2.2,0.9,6.0
Cameron Johnson,49.0,1.0,20.3,2.8,6.6,41.8,1.9,4.7,39.7,0.7,0.9,76.1,0.8,2.1,2.9,1.1,0.3,0.6,1.5,0.6,8.1
Cheick Diallo,177.0,3.0,12.1,2.2,3.7,59.8,0.0,0.0,33.3,0.8,1.1,77.0,1.0,3.2,4.2,0.4,0.4,0.3,1.5,0.6,5.3
Dario Saric,298.0,200.0,26.5,4.4,10.0,43.7,1.5,4.3,35.6,1.9,2.3,83.5,1.6,4.5,6.2,2.1,0.2,0.6,2.1,1.7,12.2
Deandre Ayton,101.0,95.0,31.5,7.6,13.2,57.2,0.0,0.1,0.0,2.0,2.6,75.3,3.4,7.4,10.8,1.8,1.2,0.8,3.0,2.0,17.1
Devin Booker,334.0,309.0,33.5,7.7,17.1,44.7,2.0,5.5,35.5,5.0,5.8,86.8,0.5,3.1,3.6,4.7,0.3,0.8,3.1,3.3,22.3
Elie Okobo,107.0,19.0,15.6,1.7,4.4,39.5,0.6,1.9,31.5,0.8,1.1,72.8,0.3,1.5,1.7,2.2,0.1,0.5,1.5,1.0,4.9
Frank Kaminsky,314.0,36.0,22.2,3.5,8.3,42.3,1.2,3.4,34.9,1.7,2.2,74.9,0.8,3.3,4.1,1.7,0.4,0.5,1.6,0.9,9.9
Jalen Lecque,4.0,0.0,6.5,1.0,2.5,40.0,0.0,1.0,0.0,0.5,0.5,100.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.3,2.5
Jevon Carter,89.0,5.0,15.0,1.6,4.4,35.4,0.9,2.5,36.5,0.5,0.6,82.5,0.4,1.4,1.8,1.5,0.3,0.7,1.5,0.7,4.5
Mikal Bridges,147.0,80.0,28.5,3.1,6.6,46.6,1.1,3.2,34.1,1.3,1.5,82.5,0.8,2.8,3.6,2.0,0.5,1.5,2.3,0.9,8.5
Ricky Rubio,555.0,534.0,30.9,3.7,9.4,39.1,0.9,2.7,32.6,3.1,3.7,84.0,0.7,3.6,4.2,7.8,0.1,1.9,2.6,2.7,11.3
Tariq Owens,3.0,0.0,5.0,0.3,1.7,20.0,0.0,0.7,0.0,0.7,0.7,100.0,0.7,0.3,1.0,0.0,0.0,0.3,0.3,0.0,1.3
Ty Jerome,28.0,0.0,11.3,1.3,3.8,34.9,0.5,1.7,27.7,0.4,0.5,78.6,0.2,1.3,1.5,1.5,0.1,0.5,1.0,0.6,3.5
Alex Len,461.0,180.0,19.7,3.1,6.2,49.5,0.2,0.6,33.0,1.7,2.4,69.0,2.0,4.2,6.3,0.9,1.0,0.4,2.7,1.2,8.0
Bogdan Bogdanovic,201.0,89.0,28.0,4.9,11.3,43.2,2.0,5.4,37.0,1.5,1.9,80.3,0.4,2.7,3.2,3.5,0.2,1.0,2.1,1.6,13.3
Buddy Hield,308.0,194.0,27.8,5.9,13.4,44.2,2.7,6.7,41.1,1.4,1.6,86.9,0.8,3.4,4.2,2.2,0.3,0.8,2.0,1.7,15.9
Cory Joseph,592.0,117.0,21.8,2.7,6.1,44.1,0.5,1.4,33.1,1.0,1.3,76.6,0.5,2.1,2.6,2.9,0.2,0.8,1.5,1.0,6.9
DaQuan Jeffries,6.0,0.0,3.2,0.5,1.2,42.9,0.2,0.7,25.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.0,0.2,0.5,0.0,1.2
Harrison Barnes,604.0,543.0,31.2,5.1,11.3,44.7,1.2,3.3,37.5,2.3,2.9,79.6,1.0,3.9,4.9,1.6,0.2,0.7,1.7,1.2,13.7
Jabari Parker,280.0,190.0,29.3,6.1,12.3,49.2,0.7,2.2,32.4,2.2,2.9,73.9,1.5,4.2,5.8,2.1,0.4,0.9,2.1,1.8,15.0
Justin James,34.0,0.0,6.4,1.0,2.3,42.3,0.3,0.8,34.6,0.3,0.6,47.6,0.2,0.7,0.9,0.5,0.3,0.2,0.5,0.2,2.5
Kent Bazemore,547.0,278.0,21.2,3.1,7.5,41.3,1.1,3.0,35.0,1.4,2.0,72.6,0.4,2.9,3.2,1.8,0.5,1.0,2.0,1.5,8.7
Kyle Guy,2.0,0.0,2.0,0.5,1.0,50.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nemanja Bjelica,333.0,153.0,21.8,3.0,6.5,46.5,1.2,3.1,39.3,0.8,1.0,77.0,1.2,3.6,4.8,1.7,0.4,0.7,2.5,1.0,8.0
Richaun Holmes,265.0,57.0,18.7,3.4,5.9,58.4,0.1,0.6,25.7,1.4,1.9,72.4,1.7,3.3,5.0,0.9,1.0,0.6,2.5,0.8,8.4
Yogi Ferrell,243.0,53.0,20.7,2.8,6.8,42.0,1.1,3.1,36.5,1.0,1.2,83.8,0.3,1.9,2.1,2.3,0.1,0.6,1.4,0.9,7.8
Antonius Cleveland,23.0,0.0,6.3,0.4,1.2,37.0,0.1,0.2,60.0,0.2,0.3,62.5,0.1,0.6,0.7,0.1,0.3,0.3,1.1,0.3,1.2
Boban Marjanovic,223.0,19.0,9.7,2.3,4.0,57.7,0.0,0.1,32.0,1.5,2.0,77.2,1.4,2.6,4.0,0.5,0.4,0.2,1.2,0.7,6.2
Courtney Lee,811.0,518.0,27.1,3.7,8.1,45.1,1.1,2.8,38.8,1.2,1.4,85.3,0.4,2.2,2.6,1.7,0.3,1.0,1.7,0.9,9.6
Delon Wright,263.0,23.0,19.8,2.7,6.0,45.1,0.6,1.8,34.5,1.3,1.7,79.4,0.8,2.3,3.1,2.9,0.4,1.0,1.2,1.0,7.4
Dwight Powell,371.0,88.0,18.7,2.9,5.1,56.3,0.3,0.9,29.3,1.7,2.3,73.9,1.5,3.1,4.6,1.0,0.5,0.7,2.1,0.7,7.7
Jalen Brunson,130.0,54.0,20.1,3.4,7.3,46.7,0.8,2.3,35.2,1.1,1.5,75.9,0.4,2.0,2.3,3.2,0.1,0.5,1.5,1.2,8.8
Josh Reaves,2.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Justin Jackson,207.0,57.0,19.6,2.5,5.9,43.3,0.9,2.8,32.5,0.6,0.8,78.0,0.5,2.1,2.6,1.1,0.2,0.3,1.1,0.4,6.6
Kristaps Porzingis,237.0,236.0,31.1,6.5,15.1,43.3,1.7,4.8,35.7,3.4,4.2,79.8,1.7,5.9,7.6,1.4,2.0,0.7,3.2,1.8,18.1
Luka Doncic,126.0,126.0,32.7,8.1,18.2,44.3,2.6,8.0,32.2,5.7,7.7,73.3,1.2,7.2,8.5,7.1,0.3,1.1,2.2,3.8,24.4
Maxi Kleber,209.0,74.0,21.1,2.6,5.6,46.5,1.1,3.0,35.4,0.8,1.0,80.3,1.2,3.1,4.4,0.9,1.0,0.4,2.0,0.6,7.1
Seth Curry,251.0,73.0,22.3,3.7,7.7,47.6,1.7,3.9,44.3,1.0,1.2,84.4,0.3,1.6,2.0,1.8,0.1,0.7,1.5,1.0,10.1
Austin Rivers,544.0,149.0,24.5,3.4,8.1,41.8,1.1,3.2,34.8,1.2,1.9,64.0,0.3,1.7,2.1,2.3,0.2,0.7,2.2,1.1,9.1
Ben McLemore,431.0,253.0,23.6,3.2,7.6,42.1,1.4,3.8,36.3,1.2,1.5,78.0,0.5,2.0,2.4,1.1,0.2,0.7,2.2,1.2,9.0
Bruno Caboclo,96.0,20.0,12.8,1.5,3.9,39.7,0.6,2.0,31.4,0.5,0.6,83.6,0.8,1.8,2.6,0.7,0.6,0.3,1.3,0.6,4.2
Chris Clemons,29.0,0.0,8.7,1.8,4.3,40.5,1.1,3.2,35.1,0.2,0.2,85.7,0.1,0.7,0.8,0.8,0.2,0.2,0.7,0.6,4.9
DeMarre Carroll,575.0,339.0,23.7,3.1,7.3,43.0,1.1,3.2,35.8,1.5,2.1,74.0,1.1,3.1,4.3,1.3,0.3,0.9,2.0,0.9,8.9
Eric Gordon,663.0,508.0,32.8,5.6,13.2,42.5,2.3,6.3,37.0,3.0,3.7,81.1,0.4,2.1,2.5,2.9,0.3,0.9,2.0,2.0,16.6
Isaiah Hartenstein,51.0,2.0,9.5,1.3,2.1,59.3,0.0,0.2,18.2,0.6,0.8,71.4,1.0,1.7,2.7,0.6,0.5,0.3,1.9,0.6,3.1
James Harden,826.0,613.0,34.3,7.4,16.7,44.2,2.8,7.7,36.3,7.5,8.8,85.8,0.8,4.5,5.3,6.3,0.5,1.6,2.6,3.7,25.1
Jeff Green,900.0,543.0,29.5,4.7,10.7,44.1,1.0,3.1,33.4,2.5,3.1,80.5,0.9,3.5,4.4,1.6,0.5,0.7,2.2,1.5,13.0
Michael Frazier,8.0,0.0,8.3,0.5,1.4,36.4,0.3,1.0,25.0,0.5,0.8,66.7,0.1,0.3,0.4,0.1,0.0,0.3,1.6,0.3,1.8
Robert Covington,388.0,340.0,29.9,4.3,10.5,40.7,2.4,6.6,35.8,1.9,2.3,81.1,0.9,4.7,5.7,1.5,0.9,1.6,3.1,1.7,12.8
Russell Westbrook,874.0,856.0,34.6,8.2,18.8,43.7,1.1,3.7,30.4,5.7,7.1,80.0,1.7,5.4,7.1,8.3,0.3,1.8,2.6,4.1,23.2
Thabo Sefolosha,869.0,475.0,21.9,2.2,4.9,44.9,0.6,1.7,34.9,0.7,1.0,73.2,0.7,3.0,3.7,1.4,0.4,1.1,1.6,0.9,5.7
Tyson Chandler,1160.0,886.0,27.3,3.1,5.1,59.7,0.0,0.0,0.0,2.1,3.2,64.4,3.0,6.0,9.0,0.8,1.2,0.5,2.8,1.4,8.2
William Howard,2.0,0.0,6.5,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.5,0.5,0.0
Anthony Tolliver,711.0,101.0,19.6,2.0,4.9,41.5,1.2,3.2,37.3,0.9,1.2,77.1,0.8,2.6,3.4,0.9,0.3,0.4,1.6,0.6,6.2
Brandon Clarke,50.0,3.0,21.7,5.1,8.2,62.3,0.4,1.0,40.4,1.5,1.9,78.5,1.6,4.3,5.8,1.4,0.8,0.5,1.6,0.9,12.0
Dillon Brooks,165.0,139.0,27.5,4.6,11.0,41.8,1.5,4.0,36.4,1.8,2.3,77.5,0.7,2.3,3.0,1.7,0.3,0.8,3.2,1.5,12.4
Gorgui Dieng,510.0,204.0,22.1,3.0,6.1,50.0,0.2,0.6,34.3,1.6,2.0,78.5,1.9,4.3,6.2,1.4,1.0,0.8,2.3,1.2,7.9
Grayson Allen,68.0,2.0,13.4,2.1,5.2,41.2,1.0,2.8,34.2,1.1,1.4,78.9,0.1,1.2,1.3,1.0,0.1,0.2,1.2,0.8,6.4
Ja Morant,59.0,59.0,30.0,6.7,13.6,49.1,0.9,2.4,36.7,3.5,4.5,77.0,0.7,2.8,3.5,6.9,0.3,0.9,1.5,3.2,17.6
John Konchar,15.0,0.0,11.1,1.5,2.3,65.7,0.3,0.6,44.4,0.1,0.1,50.0,1.2,1.9,3.1,1.4,0.2,0.5,0.5,0.4,3.4
Jonas Valanciunas,551.0,523.0,25.3,4.9,8.7,56.2,0.1,0.4,36.1,2.4,3.1,78.1,2.6,6.2,8.8,0.9,1.0,0.4,2.8,1.5,12.4
Josh Jackson,174.0,64.0,24.7,4.6,11.1,41.7,0.9,3.0,29.8,2.0,3.1,65.1,1.0,3.4,4.3,1.9,0.6,1.0,2.7,2.0,12.1
Justise Winslow,241.0,105.0,28.4,3.6,8.5,41.7,0.8,2.3,33.7,1.2,1.8,64.6,1.0,4.3,5.4,2.7,0.4,0.9,2.5,1.5,9.0
Kyle Anderson,359.0,160.0,19.6,2.2,4.4,49.2,0.2,0.7,30.7,0.8,1.2,69.8,0.7,3.3,4.0,2.0,0.5,0.9,1.4,0.9,5.4
Marko Guduric,42.0,0.0,11.3,1.5,3.7,39.6,0.6,1.9,30.9,0.5,0.6,92.0,0.3,1.4,1.7,1.1,0.2,0.3,0.8,0.9,4.0
Tyus Jones,312.0,40.0,18.0,2.1,4.9,43.1,0.6,1.6,34.5,0.7,0.9,80.3,0.2,1.3,1.5,3.6,0.1,1.0,1.0,0.7,5.6
Yuta Watanabe,31.0,0.0,8.8,0.9,2.6,33.8,0.2,0.8,20.8,0.3,0.6,55.6,0.3,1.2,1.5,0.4,0.1,0.3,0.6,0.3,2.2
Brandon Ingram,246.0,207.0,32.2,6.0,12.9,46.0,1.1,3.0,35.7,3.3,4.5,72.0,0.8,4.2,5.1,3.2,0.6,0.7,2.6,2.3,16.2
Darius Miller,253.0,28.0,20.4,2.1,4.9,41.8,1.3,3.4,38.2,0.6,0.7,83.0,0.2,1.5,1.7,1.4,0.2,0.4,2.0,0.6,6.0
Derrick Favors,677.0,479.0,25.6,4.7,8.8,53.0,0.1,0.3,20.7,2.1,3.1,66.2,2.5,4.8,7.4,1.1,1.3,0.8,2.6,1.4,11.4
Frank Jackson,112.0,17.0,16.3,2.6,6.3,41.6,0.8,2.6,31.8,0.9,1.2,74.5,0.4,1.4,1.8,1.0,0.1,0.4,1.4,0.8,7.0
JJ Redick,890.0,487.0,25.9,4.3,9.7,44.8,2.1,5.0,41.6,2.2,2.5,89.1,0.2,1.9,2.1,2.0,0.1,0.5,1.5,1.1,13.0
Jahlil Okafor,218.0,114.0,20.4,4.7,8.7,53.6,0.0,0.1,23.5,1.6,2.4,67.4,1.6,3.4,5.0,1.0,0.9,0.3,2.2,1.5,11.0
Jaxson Hayes,56.0,12.0,17.0,2.8,4.2,66.0,0.0,0.1,25.0,1.9,3.1,63.0,1.5,2.5,4.0,0.9,0.9,0.4,2.5,0.7,7.5
Josh Gray,7.0,0.0,15.6,1.7,6.1,27.9,0.4,1.9,23.1,1.0,1.6,63.6,0.4,1.3,1.7,2.0,0.3,1.1,1.3,1.7,4.9
Josh Hart,187.0,59.0,25.3,3.0,7.1,42.8,1.5,4.3,35.3,1.0,1.4,71.3,0.7,4.0,4.7,1.4,0.4,0.9,2.1,0.9,8.6
Jrue Holiday,707.0,634.0,33.3,6.3,13.8,45.2,1.3,3.7,35.5,2.0,2.6,77.7,0.9,3.1,3.9,6.4,0.5,1.5,2.3,2.7,15.9
Kenrich Williams,81.0,47.0,22.9,1.9,5.2,37.0,1.0,3.1,30.6,0.3,0.5,51.2,1.3,3.6,4.9,1.7,0.5,0.9,2.2,0.7,5.1
Lonzo Ball,155.0,142.0,32.4,4.2,10.6,39.3,2.0,5.7,34.3,0.6,1.2,48.4,1.2,5.0,6.2,6.6,0.6,1.5,2.2,2.7,10.9
Nicolo Melli,52.0,6.0,17.1,2.4,5.3,44.2,1.3,3.5,36.1,0.8,1.2,73.3,0.7,2.3,3.0,1.3,0.4,0.6,2.0,0.8,6.8
Zion Williamson,19.0,19.0,29.7,9.1,15.4,58.9,0.3,0.7,46.2,5.2,8.0,64.5,2.9,3.9,6.8,2.2,0.5,0.8,1.7,2.7,23.6
Zylan Cheatham,3.0,0.0,10.3,0.7,1.7,40.0,0.0,0.3,0.0,0.0,0.0,0.0,0.3,1.7,2.0,0.7,0.3,0.0,1.7,1.0,1.3
Bryn Forbes,261.0,155.0,21.7,3.2,7.5,43.1,1.6,4.1,40.0,0.8,0.9,80.1,0.2,1.7,1.9,1.5,0.0,0.4,1.5,0.7,8.9
Chimezie Metu,45.0,0.0,4.8,0.9,2.1,41.9,0.0,0.1,0.0,0.4,0.6,76.0,0.4,1.0,1.4,0.4,0.1,0.2,0.4,0.4,2.2
DeMar DeRozan,813.0,801.0,34.2,7.2,15.7,45.7,0.4,1.5,28.3,5.2,6.3,82.9,0.7,3.6,4.4,3.6,0.3,1.0,2.3,2.1,20.0
Dejounte Murray,177.0,106.0,19.8,3.2,7.1,45.6,0.3,0.8,35.4,1.1,1.5,73.9,1.0,3.7,4.7,2.9,0.3,1.2,1.7,1.6,7.9
Derrick White,145.0,68.0,23.0,3.4,7.2,47.0,0.8,2.2,35.9,1.8,2.2,81.4,0.5,2.7,3.2,3.3,0.7,0.8,2.0,1.2,9.3
Drew Eubanks,37.0,3.0,6.6,1.0,1.5,66.7,0.0,0.0,100.0,0.5,0.6,79.2,0.4,1.5,1.9,0.3,0.3,0.1,0.9,0.5,2.5
Jakob Poeltl,271.0,38.0,16.2,2.4,3.7,63.8,0.0,0.0,50.0,0.6,1.2,54.3,1.9,2.8,4.7,1.0,1.0,0.4,2.0,0.8,5.4
Keldon Johnson,9.0,0.0,10.2,1.8,3.4,51.6,0.2,0.6,40.0,0.8,1.1,70.0,0.6,1.3,1.9,0.7,0.1,0.6,1.0,0.3,4.6
LaMarcus Aldridge,1003.0,962.0,34.4,7.9,16.1,49.1,0.2,0.6,31.2,3.6,4.4,81.1,2.7,5.7,8.3,2.0,1.1,0.7,2.5,1.6,19.5
Luka Samanic,1.0,0.0,12.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0
Marco Belinelli,855.0,219.0,22.7,3.4,8.1,42.4,1.4,3.8,37.6,1.5,1.7,84.5,0.2,1.8,2.1,1.7,0.1,0.6,1.4,1.0,9.7
Patty Mills,668.0,56.0,19.4,3.1,7.3,43.0,1.6,4.0,38.9,0.9,1.0,85.1,0.3,1.3,1.7,2.3,0.1,0.7,1.3,1.0,8.7
Quinndary Weatherspoon,3.0,0.0,5.0,0.0,1.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0
Rudy Gay,939.0,776.0,33.2,6.5,14.3,45.5,1.0,3.0,34.5,3.1,3.9,79.8,1.4,4.5,5.9,2.2,0.8,1.2,2.4,2.2,17.1
Trey Lyles,351.0,94.0,18.0,2.8,6.4,43.3,0.9,2.6,34.1,0.9,1.3,70.8,0.8,3.5,4.2,1.1,0.4,0.4,1.5,0.8,7.4
